id,numpos,bytes,fen,dtm,line
KK,462,44,,,
KNK,26282,45,,,
KBK,27243,45,,,
KRK,27036,5228,7K/8/8/8/8/8/2k5/1R6 w - - ,31,b1a1 c2d3 a1a4 d3c2 a4a3 c2b1 a3h3 b1a2 h8g7 a2b2 g7f6 b2a2 h3d3 a2a1 f6e5 a1b1 d3c3 b1a1 e5d4 a1b1 d4d3 b1b2 d3d2 b2b1 c3c2 b1a1 d2c3 a1b1 c3b3 b1a1 c2c1 
KQK,25635,4528,7K/6Q1/8/8/8/3k4/8/8 w - - ,19,g7a1 d3c2 a1a3 c2b1 a3b3 b1a1 b3b4 a1a2 h8g7 a2a1 g7f6 a1a2 f6e5 a2a1 e5d4 a1a2 d4c3 a2a1 b4b2 
KKN,28644,45,,,
KKB,28644,45,,,
KKR,28644,6861,,,
KKQ,28644,5369,,,
KPK,81664,15830,8/8/8/1k6/8/8/K5P1/8 w - - ,55,a2b3 b5c5 b3c3 c5d5 c3d3 d5e5 d3e3 e5f5 e3f3 f5g5 f3g3 g5h6 g3f4 h6h5 f4f5 h5h6 g2g3 h6g7 f5g5 g7h7 g5f6 h7h8 g3g4 h8g8 f6g6 g8h8 g4g5 h8g8 g6h6 g8f7 g5g6 f7f8 h6h7 f8e7 g6g7 e7d6 g7g8q d6c5 g8a2 c5b4 a2c2 b4a3 c2b1 a3a4 h7g6 a4a3 g6f5 a3a4 f5e4 a4a3 e4d3 a3a4 d3c4 a4a3 b1a1 
KKP,84012,11930,,,
KNNK,735304,781,8/8/8/8/8/2N5/8/k1K1N3 w - - ,1,e1c2 
KBNK,1550621,490493,8/8/8/8/8/7B/8/Nk5K w - - ,65,a1b3 b1c2 b3d4 c2d2 d4f3 d2c2 h3f1 c2c3 h1g2 c3b4 g2g3 b4a3 f3d2 a3a2 f1d3 a2a1 g3f2 a1b2 f2e3 b2a1 e3d4 a1b2 d3e4 b2a2 d4c3 a2a1 d2b3 a1a2 e4c2 a2a3 c2b1 a3a4 b3d4 a4a5 b1e4 a5a4 e4d5 a4a3 d4c2 a3a4 d5c6 a4a5 c3c4 a5b6 c2d4 b6c7 c4c5 c7d8 c5d6 d8c8 d4b3 c8d8 b3c5 d8c8 c6d7 c8b8 d6c6 b8a7 c6c7 a7a8 c7b6 a8b8 c5a6 b8a8 d7c6 
KRNK,1538479,250233,7K/8/8/8/8/3N4/2k5/1R6 w - - ,31,b1a1 c2d3 a1a4 d3c2 a4a3 c2b1 a3h3 b1a2 h8g7 a2b2 g7f6 b2a2 h3d3 a2a1 f6e5 a1b1 d3c3 b1a1 e5d4 a1b1 d4d3 b1b2 d3d2 b2b1 c3c2 b1a1 d2c3 a1b1 c3b3 b1a1 c2c1 
KQNK,1459616,175863,7K/7N/8/8/8/2k5/7Q/8 w - - ,17,h7g5 c3d3 g5f3 d3e4 h2d2 e4f3 h8g7 f3g4 d2d3 g4h5 d3c4 h5g5 c4e4 g5h5 g7f6 h5h6 e4h1 
KNKN,1603202,1078,8/8/8/8/8/8/n1K5/k1N5 w - - ,1,c1b3 
KNKB,1603202,1077,8/8/8/8/8/8/b7/k1K1N3 w - - ,1,e1c2 
KNKR,1603202,185197,8/8/8/8/8/8/r2N4/k1K5 w - - ,1,d2b3 
KNKQ,1603202,598688,,,
KBBK,789885,120022,8/8/8/8/7B/8/3k4/K2B4 w - - ,37,d1b3 d2e3 b3c2 e3d4 h4f2 d4e5 a1b2 e5f6 b2c3 f6e5 f2e3 e5f6 c3d4 f6e6 e3f4 e6e7 c2f5 e7f6 d4e4 f6g7 e4e5 g7f7 f4g5 f7g8 e5e6 g8g7 e6e7 g7h8 g5h6 h8g8 e7f6 g8h8 f6g6 h8g8 f5e6 g8h8 h6g7 
KRBK,1594560,219768,K7/8/8/8/8/3B4/3k4/2R5 w - - ,31,c1a1 d2d3 a1e1 d3c2 e1e6 c2d2 a8a7 d2d3 a7b6 d3d4 b6c6 d4c3 e6d6 c3c4 d6d5 c4b3 d5c5 b3a2 c5b5 a2a1 b5b6 a1a2 c6c5 a2a1 c5c4 a1a2 c4c3 a2a1 c3c2 a1a2 b6a6 
KQBK,1512507,171689,7K/8/8/8/8/2k5/2B4Q/8 w - - ,15,c2b1 c3d4 h2b2 d4d5 b2c3 d5d6 b1a2 d6e7 c3c6 e7f8 a2e6 f8e7 h8g7 e7d8 c6d7 
KBKN,1661823,1116,8/8/8/8/8/8/n1K5/k1B5 w - - ,1,c1b2 
KBKB,1661823,1202,8/8/8/8/8/8/b7/k1K1B3 w - - ,1,e1c3 
KBKR,1661823,61789,,,
KBKQ,1661823,525794,,,
KRRK,777639,64973,8/8/7K/4R3/8/8/1k6/R7 w - - ,13,a1d1 b2c2 d1d6 c2c3 e5c5 c3b4 d6c6 b4a3 c5b5 a3a4 c6b6 a4a3 b5a5 
KQRK,1500642,112436,K7/8/7Q/8/8/3k4/2R5/8 w - - ,11,c2c1 d3e4 c1e1 e4d3 h6e3 d3c4 e1c1 c4d5 a8b7 d5d6 c1d1 
KRKN,1649196,294222,8/8/6R1/2K5/n7/8/8/3k4 w - - ,79,c5b4 a4b2 b4c3 b2a4 c3b3 a4c5 b3c4 c5e4 c4d3 e4c5 d3d4 c5b3 d4c3 b3c5 g6g4 d1e2 g4c4 c5b7 c3d4 b7d6 c4c5 e2f3 c5d5 d6e8 d5d8 e8g7 d8f8 f3e2 d4e4 g7h5 f8f3 h5g7 f3a3 g7h5 a3a2 e2e1 a2g2 h5f6 e4d4 e1d1 g2g6 f6h7 g6g7 h7f8 d4e5 d1d2 e5f5 d2e3 g7f7 f8g6 f5g6 e3e4 f7a7 e4d3 a7a4 d3c2 a4a3 c2b1 a3e3 b1c1 e3e2 c1d1 e2a2 d1c1 a2h2 c1b1 g6f5 b1a1 h2e2 a1b1 f5e4 b1a1 e4d3 a1b1 d3c3 b1a1 c3b3 a1b1 e2e1 
KRKB,1649196,163129,8/8/8/8/8/8/8/k1b1KR2 w - - ,57,e1d1 a1b2 f1f2 b2b1 f2f6 c1g5 f6b6 b1a2 d1c2 a2a3 c2c3 a3a4 c3c4 a4a3 b6b3 a3a2 c4c3 g5e3 c3c2 e3g1 b3b1 g1h2 b1h1 h2e5 h1h3 e5c7 h3h7 c7b6 h7h6 b6a5 h6a6 a2a3 a6a5 a3b4 a5d5 b4c4 d5d3 c4b5 d3c3 b5b4 c2b2 b4b5 b2a3 b5a6 c3b3 a6a5 b3b1 a5a6 a3a4 a6a7 a4a5 a7a8 a5b6 a8b8 b1c1 b8a8 c1c8 
KRKR,1649196,150354,8/8/8/8/8/5R2/1r6/K1k5 w - - ,37,f3f1 c1c2 f1f2 c2c3 f2b2 c3d4 b2b1 d4d3 b1b4 d3c3 b4a4 c3b3 a4h4 b3c3 a1a2 c3d3 a2b2 d3e3 b2c2 e3f3 c2d2 f3g3 h4a4 g3f3 a4b4 f3f2 b4b3 f2f1 d2e3 f1g2 e3e2 g2g1 e2f3 g1h1 f3g3 h1g1 b3b1 
KRKQ,1649196,707670,8/8/8/8/8/1R6/6q1/K1k5 w - - ,37,b3b1 c1d2 b1b2 d2e3 b2g2 e3e4 g2g1 e4f3 g1e1 f3g4 e1f1 g4g3 f1f8 g3h4 f8g8 h4h5 a1b1 h5h6 g8g1 h6h7 b1c1 h7h8 g1g2 h8h7 c1d2 h7h8 d2d3 h8h7 d3e4 h7h8 e4e5 h8h7 e5f6 h7h8 f6f7 h8h7 g2h2 
